event_id,user_id,event_name,timestamp,acquisition_channel,device,plan_tier,order_id,order_value,recipe_id,rating
E000656,U00070,landing_page_view,2026-01-05 06:49:00,Influencer,Mobile,,,,,
E000657,U00070,signup_started,2026-01-05 07:00:00,Influencer,Mobile,,,,,
E018663,U01910,landing_page_view,2026-01-05 07:49:00,Organic Search,Mobile,,,,,
E018664,U01910,signup_started,2026-01-05 08:00:00,Organic Search,Mobile,,,,,
E018665,U01910,signup_completed,2026-01-05 08:02:00,Organic Search,Mobile,Basic,,,,
E018666,U01910,onboarding_started,2026-01-05 08:03:00,,Mobile,Basic,,,,
E014680,U01511,landing_page_view,2026-01-05 08:50:00,Organic Search,Mobile,,,,,
E014681,U01511,signup_started,2026-01-05 09:00:00,Organic Search,Mobile,,,,,
E019550,U01993,landing_page_view,2026-01-05 10:47:00,Email,Desktop,,,,,
E019551,U01993,signup_started,2026-01-05 11:00:00,Email,Desktop,,,,,
E019552,U01993,signup_completed,2026-01-05 11:17:00,Email,Desktop,Premium,,,,
E006405,U00640,landing_page_view,2026-01-05 11:49:00,Email,Mobile,,,,,
E002701,U00271,landing_page_view,2026-01-05 11:52:00,Organic Search,Desktop,,,,,
E016975,U01735,landing_page_view,2026-01-05 11:54:00,Paid Social,Mobile,,,,,
E019553,U01993,onboarding_started,2026-01-05 11:55:00,,Desktop,Premium,,,,
E002702,U00271,signup_started,2026-01-05 12:00:00,Organic Search,Desktop,,,,,
E006406,U00640,signup_started,2026-01-05 12:00:00,Email,Mobile,,,,,
E016976,U01735,signup_started,2026-01-05 12:00:00,Paid Social,Mobile,,,,,
E019554,U01993,onboarding_completed,2026-01-05 12:05:00,,Desktop,Premium,,,,
E016977,U01735,signup_completed,2026-01-05 12:22:00,Paid Social,Mobile,Family,,,,
E006407,U00640,signup_completed,2026-01-05 12:24:00,Email,Mobile,Basic,,,,
E018050,U01845,landing_page_view,2026-01-05 12:46:00,Paid Social,Mobile,,,,,
E002567,U00260,landing_page_view,2026-01-05 12:49:00,Email,Mobile,,,,,
E002568,U00260,signup_started,2026-01-05 13:00:00,Email,Mobile,,,,,
E016978,U01735,onboarding_started,2026-01-05 13:00:00,,Mobile,Family,,,,
E018051,U01845,signup_started,2026-01-05 13:00:00,Paid Social,Mobile,,,,,
E002569,U00260,signup_completed,2026-01-05 13:11:00,Email,Mobile,Basic,,,,
E018052,U01845,signup_completed,2026-01-05 13:18:00,Paid Social,Mobile,Basic,,,,
E002570,U00260,onboarding_started,2026-01-05 13:28:00,,Mobile,Basic,,,,
E018053,U01845,onboarding_started,2026-01-05 13:50:00,,Mobile,Basic,,,,
E009006,U00913,landing_page_view,2026-01-05 13:52:00,Organic Search,Desktop,,,,,
E009007,U00913,signup_started,2026-01-05 14:00:00,Organic Search,Desktop,,,,,
E002571,U00260,onboarding_completed,2026-01-05 14:06:00,,Mobile,Basic,,,,
E009008,U00913,signup_completed,2026-01-05 14:23:00,Organic Search,Desktop,Basic,,,,
E009009,U00913,onboarding_started,2026-01-05 14:29:00,,Desktop,Basic,,,,
E011718,U01208,landing_page_view,2026-01-05 15:50:00,Email,Mobile,,,,,
E012892,U01338,landing_page_view,2026-01-05 15:51:00,Email,Desktop,,,,,
E011719,U01208,signup_started,2026-01-05 16:00:00,Email,Mobile,,,,,
E012893,U01338,signup_started,2026-01-05 16:00:00,Email,Desktop,,,,,
E012894,U01338,signup_completed,2026-01-05 16:06:00,Email,Desktop,Family,,,,
E011720,U01208,signup_completed,2026-01-05 16:17:00,Email,Mobile,Basic,,,,
E011721,U01208,onboarding_started,2026-01-05 16:33:00,,Mobile,Basic,,,,
E007210,U00723,landing_page_view,2026-01-05 16:49:00,Influencer,Mobile,,,,,
E007037,U00701,landing_page_view,2026-01-05 16:52:00,Organic Search,Mobile,,,,,
E001304,U00139,landing_page_view,2026-01-05 16:54:00,Paid Social,Desktop,,,,,
E012895,U01338,onboarding_started,2026-01-05 16:56:00,,Desktop,Family,,,,
E004460,U00457,landing_page_view,2026-01-05 16:58:00,Referral,Desktop,,,,,
E001305,U00139,signup_started,2026-01-05 17:00:00,Paid Social,Desktop,,,,,
E004461,U00457,signup_started,2026-01-05 17:00:00,Referral,Desktop,,,,,
E007038,U00701,signup_started,2026-01-05 17:00:00,Organic Search,Mobile,,,,,
E007211,U00723,signup_started,2026-01-05 17:00:00,Influencer,Mobile,,,,,
E004462,U00457,signup_completed,2026-01-05 17:03:00,Referral,Desktop,Premium,,,,
E002572,U00260,order_placed,2026-01-05 17:06:00,,Mobile,Basic,O002572,47.77,,
E002573,U00260,recipe_ordered,2026-01-05 17:06:19,,,,O002572,,R0027,
E002574,U00260,recipe_ordered,2026-01-05 17:06:54,,,,O002572,,R0107,
E001306,U00139,signup_completed,2026-01-05 17:08:00,Paid Social,Desktop,Family,,,,
E004463,U00457,onboarding_started,2026-01-05 17:18:00,,Desktop,Premium,,,,
E007212,U00723,signup_completed,2026-01-05 17:22:00,Influencer,Mobile,Family,,,,
E001307,U00139,onboarding_started,2026-01-05 17:35:00,,Desktop,Family,,,,
E012896,U01338,onboarding_completed,2026-01-05 17:35:00,,Desktop,Family,,,,
E004942,U00508,landing_page_view,2026-01-05 17:46:00,Organic Search,Mobile,,,,,
E014962,U01539,landing_page_view,2026-01-05 17:46:00,Referral,Desktop,,,,,
E012458,U01289,landing_page_view,2026-01-05 17:52:00,Referral,Desktop,,,,,
E001672,U00163,landing_page_view,2026-01-05 17:56:00,Referral,Desktop,,,,,
E001673,U00163,signup_started,2026-01-05 18:00:00,Referral,Desktop,,,,,
E004943,U00508,signup_started,2026-01-05 18:00:00,Organic Search,Mobile,,,,,
E012459,U01289,signup_started,2026-01-05 18:00:00,Referral,Desktop,,,,,
E014963,U01539,signup_started,2026-01-05 18:00:00,Referral,Desktop,,,,,
E004944,U00508,signup_completed,2026-01-05 18:03:00,Organic Search,Mobile,Family,,,,
E014964,U01539,signup_completed,2026-01-05 18:09:00,Referral,Desktop,Family,,,,
E012460,U01289,signup_completed,2026-01-05 18:10:00,Referral,Desktop,Family,,,,
E001674,U00163,signup_completed,2026-01-05 18:15:00,Referral,Desktop,Premium,,,,
E007213,U00723,onboarding_started,2026-01-05 18:15:00,,Mobile,Family,,,,
E001308,U00139,onboarding_completed,2026-01-05 18:17:00,,Desktop,Family,,,,
E014965,U01539,onboarding_started,2026-01-05 18:17:00,,Desktop,Family,,,,
E001675,U00163,onboarding_started,2026-01-05 18:25:00,,Desktop,Premium,,,,
E014966,U01539,onboarding_completed,2026-01-05 18:52:00,,Desktop,Family,,,,
E004945,U00508,onboarding_started,2026-01-05 18:59:00,,Mobile,Family,,,,
E012461,U01289,onboarding_started,2026-01-05 18:59:00,,Desktop,Family,,,,
E018780,U01922,landing_page_view,2026-01-05 19:48:00,Paid Social,Mobile,,,,,
E006509,U00655,landing_page_view,2026-01-05 19:49:00,Organic Search,Desktop,,,,,
E001967,U00208,landing_page_view,2026-01-05 19:52:00,Referral,Mobile,,,,,
E017198,U01763,landing_page_view,2026-01-05 19:58:00,Paid Social,Desktop,,,,,
E001968,U00208,signup_started,2026-01-05 20:00:00,Referral,Mobile,,,,,
E006510,U00655,signup_started,2026-01-05 20:00:00,Organic Search,Desktop,,,,,
E017199,U01763,signup_started,2026-01-05 20:00:00,Paid Social,Desktop,,,,,
E018781,U01922,signup_started,2026-01-05 20:00:00,Paid Social,Mobile,,,,,
E006511,U00655,signup_completed,2026-01-05 20:04:00,Organic Search,Desktop,Basic,,,,
E018782,U01922,signup_completed,2026-01-05 20:04:00,Paid Social,Mobile,Premium,,,,
E001969,U00208,signup_completed,2026-01-05 20:06:00,Referral,Mobile,Family,,,,
E017200,U01763,signup_completed,2026-01-05 20:18:00,Paid Social,Desktop,Family,,,,
E001970,U00208,onboarding_started,2026-01-05 20:19:00,,Mobile,Family,,,,
E001971,U00208,onboarding_completed,2026-01-05 20:38:00,,Mobile,Family,,,,
